sentence,packed_sentence,entities
長榮晚上都在飛嗎,長榮(Nb)　晚上(Nd)　都(D)　在(D)　飛(VA)　嗎(T),"[{'word': '長榮', 'ner': 'ORG'}, {'word': '晚上', 'ner': 'TIME'}]"
薪水最少要求最多懲處最重員工沒向心力來看看這公司會怎麼走下去,薪水(Na)　最少(Da)　要求(Na)　最多(VH)　懲處(VC)　最(Dfa)　重(VH)　員工(Na)　沒(VJ)　向心力(Na)　來(D)　看看(VE)　這(Nep)　公司(Nc)　會(D)　怎麼(D)　走下去(VA),[]
個月真的慘,個(Nf)　月(Na)　真的(D)　慘(VH),"[{'word': '個月', 'ner': 'DATE'}]"
根本不會照顧員工只會花錢行銷的公關公司,根本(D)　不會(D)　照顧(VC)　員工(Na)　只(Da)　會(D)　花錢(VA)　行銷(Na)　的(DE)　公關(Na)　公司(Nc),[]
星宇員工是要多看不起自己兩張商務艙機票就嗨翻,星宇(Nb)　員工(Na)　是(SHI)　要(D)　多(D)　看不起(VJ)　自己(Nh)　兩(Neu)　張(Nf)　商務艙(Na)　機票(Na)　就(D)　嗨翻(I),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '兩', 'ner': 'CARDINAL'}]"
星粉新公司本來就不賺錢給個月已經很好了換位思考如果是自己的公司定也亂噴堆啦真的是很好笑,星粉(Nb)　新(VH)　公司(Nc)　本來(D)　就(D)　不(D)　賺錢(VA)　給(P)　個(Nf)　月(Na)　已經(D)　很(Dfa)　好(VH)　了(Di)　換(VC)　位(Nf)　思考(VE)　如果(Cbb)　是(SHI)　自己(Nh)　的(DE)　公司(Nc)　定(VC)　也(D)　亂(VH)　噴堆(VC)　啦(T)　真的(D)　是(SHI)　很(Dfa)　好笑(VH),"[{'word': '星粉新公司', 'ner': 'ORG'}, {'word': '個月', 'ner': 'DATE'}]"
可以先說明年定補個月之類的,可以(D)　先(D)　說(VE)　明年(Nd)　定(VC)　補(VC)　個(Nf)　月(Na)　之類(Cab)　的(DE),[]
不過當下要賺錢不容易,不過(Cbb)　當下(Nd)　要(D)　賺錢(VA)　不(D)　容易(VH),[]
航空從業人員大部分都是吃青春飯的拿青春賭明天的,航空(Na)　從業(VB)　人員(Na)　大部分(Neqa)　都(D)　是(SHI)　吃(VC)　青春(Na)　飯(Na)　的(DE)　拿(VC)　青春(Na)　賭(VE)　明天(Nd)　的(DE),[]
飛堆奇怪航點怎麼可能賺錢至少開個紐約給老子搭長榮華航飛紐約的飛機都舊到靠北,飛(Nb)　堆(Nf)　奇怪(VK)　航點(Na)　怎麼(D)　可能(D)　賺錢(VA)　至少(Da)　開(VC)　個(Nf)　紐約(Nc)　給(VD)　老子(Nh)　搭(VC)　長榮(Nb)　華航(Nc)　飛(VA)　紐約(Nc)　的(DE)　飛機(Na)　都(D)　舊(VH)　到(P)　靠(P)　北(Ncd),"[{'word': '紐約', 'ner': 'GPE'}, {'word': '長榮華航', 'ner': 'ORG'}, {'word': '紐約', 'ner': 'GPE'}]"
鳳凰城怎麼會是奇怪航點,鳳凰城(Nc)　怎麼(D)　會(D)　是(SHI)　奇怪(VK)　航點(Na),"[{'word': '鳳凰城', 'ner': 'FAC'}]"
董仔是最專業的,董仔(Nb)　是(SHI)　最(Dfa)　專業(VH)　的(DE),[]
怎麼可能選錯,怎麼(D)　可能(D)　選錯(VC),[]
飛機買那麼多費用就擺在那邊,飛機(Na)　買(VC)　那麼多(Neqa)　費用(Na)　就(D)　擺(VC)　在(P)　那邊(Ncd),[]
聽說的引擎是個大錢坑,聽說(VE)　的(DE)　引擎(Na)　是(SHI)　個(Nf)　大(VH)　錢坑(Na),[]
不爽不要做哪這麼多廢話,不(D)　爽(VH)　不要(D)　做(VC)　哪(Ncd)　這麼多(Neqa)　廢話(Na),[]
的引擎我聽朋友說大概是小時就要下引擎,的(DE)　引擎(Na)　我(Nh)　聽(VE)　朋友(Na)　說(VE)　大概(D)　是(SHI)　小時(Na)　就(D)　要(D)　下(VC)　引擎(Na),"[{'word': '小時', 'ner': 'TIME'}]"
那架的顆引擎,那(Nep)　架(Nf)　的(DE)　顆(Nf)　引擎(Na),[]
不就幾乎平均每個月都有要重新拆裝的,不(D)　就(D)　幾乎(Da)　平均(VH)　每(Nes)　個(Nf)　月(Na)　都(D)　有(V_2)　要(D)　重新(D)　拆裝(VC)　的(DE),[]
這是次換完搞定嗎,這(Nep)　是(SHI)　次(Nf)　換完(VC)　搞定(VC)　嗎(T),[]
還是輩子無限循環高頻率拆裝呢,還是(Caa)　輩子(Na)　無限(VH)　循環(Na)　高(VH)　頻率(Na)　拆裝(VC)　呢(T),[]
剛剛也有跳文章出來,剛剛(D)　也(D)　有(V_2)　跳文章(VA)　出來(VA),[]
下面排整整齊齊都在說新創公司要共體時艱,下面(Ncd)　排(VC)　整整齊齊(VH)　都(D)　在(P)　說(VE)　新創(VC)　公司(Nc)　要(D)　共體時艱(VA),[]
只要設備到齊,只要(Cbb)　設備(Na)　到齊(VH),[]
老闆很敢給的,老闆(Na)　很(Dfa)　敢(VL)　給(VD)　的(T),[]
真假聽說還要拿架去高雄這樣是不是還是算了架顆引擎飛機集中在桃園才方便拆拆裝裝好調度,真假(Na)　聽說(VE)　還要(Dfa)　拿(VC)　架(Nf)　去(VCL)　高雄(Nc)　這樣(VH)　是(SHI)　不是(D)　還是(D)　算了(VH)　架(VC)　顆(Nf)　引擎(Na)　飛機(Na)　集中(VC)　在(P)　桃園(Nc)　才(Da)　方便(VH)　拆拆(VC)　裝裝好(VC)　調度(VC),"[{'word': '高雄', 'ner': 'GPE'}, {'word': '桃園', 'ner': 'GPE'}]"
收到這個通知然後還要好好服務客人微笑覺得好辛苦,收到(VC)　這(Nep)　個(Nf)　通知(Na)　然後(D)　還要(Dfa)　好好(VH)　服務(VC)　客人(Na)　微笑(VA)　覺得(VK)　好(Dfa)　辛苦(VHC),[]
腥宇不倒台灣不會好,腥(Nb)　宇(Nc)　不(D)　倒(VA)　台灣(Nc)　不會(D)　好(VH),"[{'word': '台灣', 'ner': 'GPE'}]"
星粉們舔起來舔起來,星粉(Na)　們(Na)　舔(D)　起來(Di)　舔(VC)　起來(Di),[]
每次新聞出就跑出些可憐無腦黑,每(Nes)　次(Nf)　新聞(Na)　出(VC)　就(D)　跑出(VCL)　些(Nf)　可憐(VHC)　無(VJ)　腦(Na)　黑(VH),[]
換發時間到之前把飛機換回桃園就好了又不是沒有備發,換發(Nv)　時間(Na)　到(VCL)　之前(Ng)　把(P)　飛機(Na)　換回(VC)　桃園(Nc)　就(D)　好(VH)　了(T)　又(D)　不(D)　是(SHI)　沒有(VJ)　備發(VH),"[{'word': '桃園', 'ner': 'GPE'}]"
空服員又沒專業,空服員(Na)　又(D)　沒(VJ)　專業(VH),[]
個月很好了還不是不敢離職,個(Nf)　月(Na)　很(Dfa)　好(VH)　了(Di)　還不是(D)　不(D)　敢(VL)　離職(VH),"[{'word': '個月', 'ner': 'DATE'}]"
去外面端盤子能領現在多,去(VCL)　外面(Ncd)　端(VC)　盤子(Na)　能(D)　領(VC)　現在(Nd)　多(Neqa),[]
去別間端領的確實多不過只能腥宇這破公司就別嫌了,去(VCL)　別(Nes)　間(Ncd)　端(Na)　領(VC)　的(DE)　確實(D)　多(VH)　不過(Cbb)　只(Da)　能(D)　腥(Nb)　宇(Nc)　這(Nep)　破(VHC)　公司(Nc)　就(D)　別(D)　嫌(VK)　了(T),"[{'word': '腥宇', 'ner': 'ORG'}]"
剛看到脆有人說長榮空服目前在招募中欸報名截止日初審面試,剛(D)　看到(VE)　脆(VH)　有(V_2)　人(Na)　說(VE)　長榮(Nb)　空服(Na)　目前(Nd)　在(P)　招募(VC)　中(Ng)　欸(I)　報名(VA)　截止日(Nd)　初審(VC)　面試(VC),"[{'word': '長榮空服', 'ner': 'PRODUCT'}]"
預計月報到受訓,預計(VE)　月報(Na)　到(Caa)　受訓(VA),[]
業內跳槽想卡主管位的結果待遇輸原本兩家,業(Na)　內(Ng)　跳槽(VA)　想(VE)　卡(Na)　主管位(Na)　的(DE)　結果(Na)　待遇(Na)　輸(VD)　原本(D)　兩(Neu)　家(Nf),"[{'word': '兩', 'ner': 'CARDINAL'}]"
然後網路到處哭哭,然後(D)　網路(Na)　到處(D)　哭哭(VA),[]
如果長榮肯錄取星宇的空服,如果(Cbb)　長榮(Nb)　肯(VL)　錄取(VC)　星宇(Nb)　的(DE)　空服(Na),[]
那麼星宇做到五月接著六月切換過去星宇,那麼(Dk)　星宇(Na)　做到(VE)　五月(Nd)　接著(VJ)　六月(Nd)　切換(VC)　過去(Nd)　星宇(Na),"[{'word': '五月', 'ner': 'DATE'}, {'word': '六月', 'ner': 'DATE'}]"
可能的全年收入還比較多,可能(VH)　的(DE)　全(Neqa)　年(Nf)　收入(Na)　還(D)　比較(Dfa)　多(VH),"[{'word': '全年', 'ner': 'DATE'}]"
問題是長榮肯錄取在星宇做過的空服嗎,問題(Na)　是(SHI)　長榮(Nb)　肯(VL)　錄取(VC)　在(P)　星宇(Nb)　做(VC)　過(Di)　的(DE)　空服(Na)　嗎(T),[]
星粉短視近利以後星宇可是台灣最強最大航空傻逼可能年的事了,星粉(Na)　短視(VH)　近利(Na)　以後(Ng)　星宇(Nb)　可是(D)　台灣(Nc)　最(Dfa)　強(VH)　最(Dfa)　大(VH)　航空(Na)　傻逼(VH)　可能(D)　年(Nf)　的(DE)　事(Na)　了(T),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '台灣', 'ner': 'GPE'}]"
星宇有董仔,星宇(Nb)　有(V_2)　董仔(Nb),"[{'word': '星宇', 'ner': 'ORG'}]"
當然會是台灣最強最大航空,當然(D)　會(D)　是(SHI)　台灣(Nc)　最(Dfa)　強(VH)　最(Dfa)　大(VH)　航空(Na),"[{'word': '台灣', 'ner': 'GPE'}]"
去新創公司本來就是如此,去(D)　新創(VC)　公司(Nc)　本來(D)　就是(Cbb)　如此(VH),[]
誰跟你新創公司都這樣美國的新創都是給的少但發股票賭把公司上市或被收購精品航空都上市多久了,誰(Nh)　跟(P)　你(Nh)　新創(VC)　公司(Nc)　都(D)　這樣(VH)　美國(Nc)　的(DE)　新創(VC)　都(D)　是(SHI)　給(VD)　的(DE)　少(VH)　但(Cbb)　發(VD)　股票(Na)　賭(VE)　把(P)　公司(Nc)　上市(VH)　或(Caa)　被(P)　收購(VC)　精品(Na)　航空(Na)　都(D)　上市(VH)　多久(Nd)　了(T),"[{'word': '美國', 'ner': 'GPE'}, {'word': '精品航空', 'ner': 'ORG'}]"
已經成立年的公司新創你個鬼大頭,已經(D)　成立(VC)　年(Na)　的(DE)　公司(Nc)　新創(VC)　你(Nh)　個(DE)　鬼(Na)　大頭(Na),[]
星宇很像還真有員工認股話說這次大家吹捧的長榮是創立幾年後就穩定有個月年終呀,星宇(Nb)　很(Dfa)　像(VG)　還(D)　真(D)　有(V_2)　員工(Na)　認股(VA)　話說(Na)　這(Nep)　次(Nf)　大家(Nh)　吹捧(VC)　的(DE)　長榮(Nb)　是(SHI)　創立(VC)　幾(Neu)　年(Nf)　後(Ng)　就(D)　穩定(VHC)　有(V_2)　個(Nf)　月(Na)　年終(Nd)　呀(T),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '長榮', 'ner': 'ORG'}, {'word': '幾年', 'ner': 'DATE'}]"
已經成立年的公司沒有發個月,已經(D)　成立(VC)　年(Nd)　的(DE)　公司(Nc)　沒有(D)　發(VD)　個(Nf)　月(Na),[]
到底又怎樣了,到底(D)　又(D)　怎樣(VH)　了(T),[]
那些員工都是自願加入的啊,那些(Neqa)　員工(Na)　都(D)　是(SHI)　自願(VL)　加入(VC)　的(T)　啊(T),[]
現在直買新飛機開新航線,現在(Nd)　直(D)　買(VC)　新(VH)　飛機(Na)　開(VC)　新(VH)　航線(Na),[]
衝刺期要大賺很難,衝刺期(Na)　要(D)　大賺(VH)　很(Dfa)　難(VH),[]
還有美國新創誰說都會給股票,還(D)　有(V_2)　美國(Nc)　新創(VC)　誰(Nh)　說(VE)　都(D)　會(D)　給(VD)　股票(Na),"[{'word': '美國', 'ner': 'GPE'}]"
我待過間股都沒給的,我(Nh)　待(VCL)　過(Di)　間(Na)　股(Na)　都(D)　沒(D)　給(VD)　的(DE),[]
後來到了線外商才開始拿到,後來(Nd)　到(VCL)　了(Di)　線外商(Na)　才(Da)　開始(VL)　拿到(VC),[]
老實說沒載貨真的蠻難墊高營收啦就看他們什麼時候到,老實說(Dk)　沒(D)　載貨(VA)　真的(D)　蠻(Dfa)　難(VH)　墊高(VC)　營收(Na)　啦(T)　就(D)　看(VE)　他們(Nh)　什麼(Nep)　時候(Na)　到(P),[]
現在直買新飛機開新航線,現在(Nd)　直(D)　買(VC)　新(VH)　飛機(Na)　開(VC)　新(VH)　航線(Na),[]
董仔會經營所以是沒有風險的,董仔會(Na)　經營(VC)　所以(Cbb)　是(SHI)　沒有(VJ)　風險(Na)　的(DE),[]
等鳳凰城芬蘭波蘭蘇黎世全都飛起來,等(Cab)　鳳凰城(Nc)　芬蘭(Nc)　波蘭(Nc)　蘇黎世(Nc)　全(Neqa)　都(D)　飛起來(VA),"[{'word': '芬蘭', 'ner': 'GPE'}, {'word': '波蘭蘇黎世', 'ner': 'GPE'}]"
年終獎金會變成好幾倍的啦,年終(Nd)　獎金(Na)　會(D)　變成(VG)　好幾(Neu)　倍(Na)　的(T)　啦(T),[]
不要什麼都等進來,不要(D)　什麼(Nep)　都(D)　等(VC)　進來(VA),[]
這樣難道明年進架客機有錯嗎,這樣(VH)　難道(D)　明年(Nd)　進(VC)　架(Nf)　客機(Na)　有(V_2)　錯(VH)　嗎(T),"[{'word': '明年', 'ner': 'DATE'}]"
是怪董仔太晚買貨機嗎,是(SHI)　怪(VK)　董仔(Nb)　太晚(VH)　買(VC)　貨機(Na)　嗎(T),[]
還是怪董仔成立的不是純貨運公司,還是(D)　怪(VK)　董仔(Nb)　成立(VC)　的(DE)　不(D)　是(SHI)　純(VH)　貨運(Na)　公司(Nc),[]
給創立年個月的新創公司點空間可以嗎,給(P)　創立(VC)　年(Neqa)　個(Nf)　月(Na)　的(DE)　新創(VC)　公司(Nc)　點(VC)　空間(Na)　可以(VH)　嗎(T),"[{'word': '創立年個月', 'ner': 'DATE'}]"
還是要看銀行端有沒有關水龍頭吧不然也可以先跟銀行借來發年終,還是(D)　要(D)　看(VC)　銀行(Na)　端(Ncd)　有沒有(D)　關(VC)　水龍頭(Na)　吧(T)　不然(Cbb)　也(D)　可以(D)　先(D)　跟(P)　銀行(Nc)　借來(VD)　發(VD)　年終(Nd),[]
大家都把貨機講得像救命仙丹,大家(Nh)　都(D)　把(P)　貨機(Na)　講(VE)　得(DE)　像(VG)　救命(VA)　仙丹(Na),[]
當年華航可是因為貨運機隊太大利潤又低導致整體獲利低下,當年(Nd)　華航(Nc)　可是(D)　因為(Cbb)　貨運(Na)　機隊(Na)　太(Dfa)　大(VH)　利潤(Na)　又(D)　低(VH)　導致(VL)　整體(Na)　獲利(Na)　低下(VHC),"[{'word': '當年', 'ner': 'DATE'}, {'word': '華航', 'ner': 'ORG'}]"
小在長榮時也是以去化貨機機隊改以客機機腹載貨為主耶,小(VH)　在(P)　長榮(Nb)　時(Ng)　也(D)　是(SHI)　以(P)　去化(VHC)　貨機(Na)　機隊(Na)　改以(P)　客機(Na)　機腹(Nc)　載貨(VA)　為主(VI)　耶(T),"[{'word': '長榮', 'ner': 'ORG'}]"
產業總是循環性的,產業(Na)　總是(D)　循環性(Na)　的(DE),[]
誰知道什麼時候貨運又下去了,誰(Nh)　知道(VK)　什麼(Nep)　時候(Na)　貨運(Na)　又(D)　下去(VA)　了(Di),[]
小花是客貨並重所以在疫情時期就真的成了救命浮木,小花(Na)　是(SHI)　客貨(Na)　並重(VH)　所以(Cbb)　在(P)　疫情(Na)　時期(Na)　就(D)　真的(D)　成(VG)　了(Di)　救命(Nv)　浮木(Na),[]
董仔怎麼會有需要跟銀行借錢來發年終,董仔(Nb)　怎麼(D)　會(D)　有(V_2)　需要(Na)　跟(P)　銀行(Nc)　借(VD)　錢(Na)　來(D)　發(VD)　年終(Nd),[]
基本上擴張期只要是正的公司經營就是成功忘了買新飛機買到倒掉的同業嗎,基本(Na)　上(Ncd)　擴張期(Na)　只要(Cbb)　是(SHI)　正(VH)　的(DE)　公司(Nc)　經營(VC)　就是(Cbb)　成功(VH)　忘(VK)　了(Di)　買(VC)　新(VH)　飛機(Na)　買到(VC)　倒掉(VC)　的(DE)　同業(Na)　嗎(T),[]
第三季是負的,第三(Neu)　季(Nd)　是(SHI)　負(VH)　的(DE),"[{'word': '第三', 'ner': 'ORDINAL'}]"
第四季是正的嗎,第四(Neu)　季(Nd)　是(SHI)　正(VH)　的(DE)　嗎(T),"[{'word': '第四', 'ner': 'ORDINAL'}]"
我也很好奇,我(Nh)　也(D)　很(Dfa)　好奇(VH),[]
星宇有比較好請病假嗎,星宇(Nb)　有(V_2)　比較(Dfa)　好(VH)　請(VF)　病假(Na)　嗎(T),"[{'word': '星宇', 'ner': 'ORG'}]"
年終獎金六個半月,年終(Nd)　獎金(Na)　六(Neu)　個(Nf)　半(Neqa)　月(Na),"[{'word': '六個半月', 'ner': 'DATE'}]"
方面才有難請假的過世的空姐,方面(Na)　才(Da)　有(V_2)　難(VH)　請假(VA)　的(DE)　過世(VH)　的(DE)　空姐(Na),[]
為了長期經營考量,為了(P)　長期(Na)　經營(VC)　考量(VE),[]
新飛機直來折舊年年高這幾年應該都普普,新(VH)　飛機(Na)　直(D)　來(VA)　折舊(VH)　年(D)　年(Na)　高(VH)　這(Nep)　幾(Neu)　年(Nf)　應該(D)　都(D)　普普(VH),"[{'word': '幾年', 'ner': 'DATE'}]"
至少要等有飛機被抱怨太舊怎麼還不改艙基準點才會平等,至少(Da)　要(D)　等(VC)　有(V_2)　飛機(Na)　被(P)　抱怨(VE)　太(Dfa)　舊(VH)　怎麼(D)　還(D)　不(D)　改(VC)　艙(Na)　基準點(Na)　才(Da)　會(D)　平等(VH),[]
講出美國新創公司的人不同行業可以比喔,講出(VC)　美國(Nc)　新創(VC)　公司(Nc)　的(DE)　人(Na)　不同(VH)　行業(Na)　可以(D)　比(VC)　喔(T),"[{'word': '美國', 'ner': 'NORP'}]"
那怎麼不拿航運來比,那(Nep)　怎麼(D)　不(D)　拿(P)　航運(Na)　來(D)　比(VC),[]
真的講越多別人笑越大聲,真的(D)　講(VE)　越(D)　多(VH)　別人(Nh)　笑(VA)　越(D)　大聲(VH),[]
真的講越多別人笑越大聲,真的(D)　講(VE)　越(D)　多(VH)　別人(Nh)　笑(VA)　越(D)　大聲(VH),[]
創立七年的公司已獲得五星級榮耀,創立(VC)　七(Neu)　年(Nf)　的(DE)　公司(Nc)　已(D)　獲得(VJ)　五星級(Na)　榮耀(Na),"[{'word': '七年', 'ner': 'DATE'}, {'word': '五星級', 'ner': 'CARDINAL'}]"
但年終卻只有個月,但(Cbb)　年終(Nd)　卻(D)　只(Da)　有(V_2)　個(Nf)　月(Na),"[{'word': '個月', 'ner': 'DATE'}]"
要拿航運來比虎航年成立,要(D)　拿(VC)　航運(Na)　來(D)　比(P)　虎航(Nb)　年(Na)　成立(VC),[]
第七年碰上疫情就不計,第七(Neu)　年(Nf)　碰上(VC)　疫情(Na)　就(D)　不計(VK),"[{'word': '第七年', 'ner': 'DATE'}]"
年恢復正常,年(Na)　恢復(VHC)　正常(VH),[]
虎航年終給個月,虎航(Nb)　年終(Nd)　給(VD)　個(Nf)　月(Na),"[{'word': '虎航', 'ner': 'ORG'}, {'word': '個月', 'ner': 'DATE'}]"
上看十個月,上(Ncd)　看(VC)　十(Neu)　個(Nf)　月(Na),"[{'word': '十個月', 'ner': 'DATE'}]"
是星粉自己要比航運公司的喔,是(SHI)　星粉(Na)　自己(Nh)　要(D)　比(P)　航運(Na)　公司(Nc)　的(DE)　喔(T),"[{'word': '星粉', 'ner': 'PERSON'}]"
不要又嫌虎航沒資格喔,不要(D)　又(D)　嫌(VK)　虎航(Nb)　沒(VJ)　資格(Na)　喔(T),"[{'word': '虎航', 'ner': 'ORG'}]"
星宇就直買雜誌買媒體洗形象啊,星宇(Nb)　就(D)　直(D)　買(VC)　雜誌(Na)　買(VC)　媒體(Na)　洗(VC)　形象(Na)　啊(T),"[{'word': '星宇', 'ner': 'ORG'}]"
星宇航空預計開航台中往返東京成田,星宇(Nb)　航空(Na)　預計(VE)　開航(VA)　台中(Nc)　往返(VCL)　東京(Nc)　成田(Nc),"[{'word': '星宇航空', 'ner': 'ORG'}, {'word': '台中', 'ner': 'GPE'}, {'word': '東京', 'ner': 'GPE'}, {'word': '成田', 'ner': 'GPE'}]"
每週四班,每(Nes)　週(Nf)　四(Neu)　班(Nf),"[{'word': '四', 'ner': 'CARDINAL'}]"
機型,機型(Na),[]
航班時刻,航班(Na)　時刻(Na),[]
每週三四六,每(Nes)　週(Nd)　三(Nd)　四六(Nd),"[{'word': '每週三四六', 'ner': 'DATE'}]"
每週,每(Nes)　週(Nf),[]
每週三四,每(Nes)　週(Nd)　三(Nd)　四(Nd),"[{'word': '每週三四', 'ner': 'DATE'}]"
每週六,每(Nes)　週六(Nd),"[{'word': '每週六', 'ner': 'DATE'}]"
遙想當年疫情前華信用飛台中成田,遙想(VJ)　當年(Nd)　疫情(Na)　前(Ng)　華信(Nb)　用(P)　飛(VA)　台中(Nc)　成田(Nc),[]
每日,每(Nes)　日(Nf),[]
每日,每(Nes)　日(Nf),[]
還有去年曇花現的虎航台中成田,還(Caa)　有(V_2)　去年(Nd)　曇花現(VH)　的(DE)　虎航(Nb)　台中(Nc)　成田(Nc),"[{'word': '去年', 'ner': 'DATE'}, {'word': '台中', 'ner': 'GPE'}]"
時間帶不錯耶,時間帶(Na)　不錯(VH)　耶(T),[]
機位肯定被搶爆,機位(Na)　肯定(VK)　被(P)　搶爆(VD),[]
超優時間帶,超優(VH)　時間帶(Na),[]
又是睡飽出發概念,又(D)　是(SHI)　睡飽(VH)　出發(VA)　概念(Na),[]
回程時間也超優,回程(Na)　時間(Na)　也(D)　超優(VH),[]
這時間很香欸睡爽出門回來也不會過早,這(Nep)　時間(Na)　很(Dfa)　香(VH)　欸(I)　睡(VA)　爽(VH)　出門(VA)　回來(VA)　也(D)　不會(D)　過早(VH),[]
票價肯定也飛天,票價(Na)　肯定(VK)　也(D)　飛天(Na),[]
星宇今年年終個月,星宇(Nb)　今年(Nd)　年終(Nd)　個(Nf)　月(Na),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '今年', 'ner': 'DATE'}]"
想要錄取後乾等年,想要(VE)　錄取(VC)　後(Ng)　乾(D)　等(Cab)　年(Na),[]
上工後作息混亂,上工(VA)　後(Ng)　作息(Na)　混亂(VH),[]
現場高壓緊張但收入也緊張的職涯體驗嗎,現場(Nc)　高壓(Na)　緊張(VH)　但(Cbb)　收入(Na)　也(D)　緊張(VH)　的(DE)　職涯(Na)　體驗(VC)　嗎(T),[]
歡迎加入星宇航空大家庭,歡迎(VJ)　加入(VC)　星宇(Nb)　航空(Na)　大(VH)　家庭(Na),[]
時間帶意外好,時間(Na)　帶(VC)　意外(Na)　好(VH),[]
看票價,看(VE)　票價(Na),[]
大概不會低於,大概(D)　不會(D)　低於(VJ),[]
如果能就很香,如果(Cbb)　能(D)　就(D)　很(Dfa)　香(VH),[]
超過應該還是去桃園,超過(VJ)　應該(D)　還是(D)　去(VCL)　桃園(Nc),"[{'word': '桃園', 'ner': 'GPE'}]"
回程時間帶太早,回程(Na)　時間帶(Na)　太早(D),[]
對老人小孩而已超級完美的時間,對(P)　老人(Na)　小孩(Na)　而已(T)　超級(Dfa)　完美(VH)　的(DE)　時間(Na),[]
感謝星宇,感謝(VK)　星宇(Na),"[{'word': '星宇', 'ner': 'PERSON'}]"
時間帶中部友善,時間帶(Na)　中部(Ncd)　友善(VH),[]
但價位可能不會太親民,但(Cbb)　價位(Na)　可能(D)　不會(D)　太(Dfa)　親民(VH),[]
說來,說來(D),[]
成田居然還有空間能塞飛機嗎,成田(Nc)　居然(D)　還(D)　有(V_2)　空間(Na)　能(D)　塞(VC)　飛機(Na)　嗎(T),"[{'word': '成田', 'ner': 'GPE'}]"
還是之前那個什麼擴增工程起效了,還是(Caa)　之前(Nd)　那(Nep)　個(Nf)　什麼(Nep)　擴增(Nv)　工程(Na)　起效(VC)　了(Di),[]
台中不能對羽田嗎,台中(Nc)　不能(D)　對(P)　羽田(Nb)　嗎(T),"[{'word': '台中', 'ner': 'GPE'}, {'word': '羽田', 'ner': 'GPE'}]"
城市對城市,城市(Nc)　對(P)　城市(Nc),[]
真的是成田話說這個時間要串飛哪裡呢,真的(D)　是(SHI)　成田話(Nb)　說(VE)　這(Nep)　個(Nf)　時間(Na)　要(D)　串飛(VC)　哪裡(Ncd)　呢(T),"[{'word': '成田話', 'ner': 'LANGUAGE'}]"
尊貴的羽田不是最頂的城市不飛,尊貴(VH)　的(DE)　羽田(Nb)　不(D)　是(SHI)　最(Dfa)　頂(Ncd)　的(DE)　城市(Nc)　不(D)　飛(VA),"[{'word': '羽田', 'ner': 'GPE'}]"
沒飛的那三天說去跑峴港跟熊本還沒看到,沒(D)　飛(VA)　的(DE)　那(Nep)　三(Neu)　天(Nf)　說(VE)　去(D)　跑(VA)　峴港(Nc)　跟(Caa)　熊本(Nc)　還(D)　沒(D)　看到(VE),"[{'word': '那三天', 'ner': 'DATE'}, {'word': '峴港', 'ner': 'GPE'}, {'word': '熊本', 'ner': 'GPE'}]"
去程時間太早了,去程(Na)　時間(Na)　太早(VH)　了(T),[]
整天喊羽田就說羽田要航權才能飛了,整(Neqa)　天(Nf)　喊(VE)　羽田(Nb)　就(D)　說(VE)　羽田(Nb)　要(VC)　航權(Na)　才(Da)　能(D)　飛(VA)　了(Di),"[{'word': '羽田', 'ner': 'GPE'}, {'word': '羽田', 'ner': 'GPE'}]"
串不下去票定不便宜,串(VC)　不(D)　下去(Di)　票(Na)　定(VC)　不(D)　便宜(VH),[]
去程時間非常好點都不早,去程(Na)　時間(Na)　非常(Dfa)　好(VH)　點(Dfb)　都(D)　不(D)　早(D),[]
開航資訊還有人在洗年終真的噁心,開航(VA)　資訊(Na)　還(D)　有(V_2)　人(Na)　在(P)　洗(VC)　年終(Nd)　真的(D)　噁心(VH),[]
回程太早沒辦法接的美國客,回程(Na)　太早(D)　沒辦法(VI)　接(VC)　的(DE)　美國客(Na),"[{'word': '美國客', 'ner': 'NORP'}]"
日航是跟華航合作喔謝謝在成田只有班達拉斯個月就個月不能講喔,日航(Nc)　是(SHI)　跟(P)　華航(Nc)　合作(VH)　喔(T)　謝謝(VJ)　在(P)　成田(Nc)　只有(Da)　班達拉斯(Nc)　個(Nf)　月(Na)　就(D)　個(Nf)　月(Na)　不能(D)　講(VE)　喔(T),"[{'word': '日航', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}, {'word': '成田', 'ner': 'GPE'}, {'word': '班達拉斯', 'ner': 'PERSON'}, {'word': '個月', 'ner': 'DATE'}, {'word': '個月', 'ner': 'DATE'}]"
但都炸鍋了,但(Cbb)　都(D)　炸(VC)　鍋(Na)　了(T),[]
我也覺得去程太早了,我(Nh)　也(D)　覺得(VK)　去程(Na)　太早(VH)　了(T),[]
覺得接近中午時間在飛機上吃午餐睡午覺比較好有小孩的關係,覺得(VK)　接近(VC)　中午(Nd)　時間(Na)　在(P)　飛機(Na)　上(Ncd)　吃(VC)　午餐(Na)　睡午覺(VA)　比較(Dfa)　好(VH)　有(V_2)　小孩(Na)　的(DE)　關係(Na),"[{'word': '中午', 'ner': 'TIME'}]"
還嫌不好太早,還(D)　嫌(VK)　不(D)　好(VH)　太早(D),[]
